postal_code	city	street	house_number	x	y	country
1020	Caracas	Terrazas de La Vega	12	-66.95259385	10.460013499999999	VE
1020	Caracas	Terrazas de La Vega	13	-66.95277709999999	10.4601966	VE
1020	Caracas	matapalo	68	-66.9314321	10.500446	VE
1030	Caracas	Simón Bolívar	9	-66.9471458	10.5167112	VE
1030		Carretera Regional La Victoria - Colonia Tovar	+582443551919	-67.2999152	10.4056471	VE
1040	Caracas	Av. Nueva Granada	Local Nº. 2	-66.9039676	10.4814056	VE
1050	Caracas	Av. Las Acacias	73	-66.87867464611212	10.505300519266513	VE
1050	Caracas	Av. Los Jabillos	10-05	-66.8777037	10.4981033	VE
1050	Caracas	Av. Los Samanes	39	-66.87685067562613	10.503291496872457	VE
1050	Caracas	Av. Los Samanes	40	-66.87618689493051	10.502858647514	VE
1050	Caracas	Av. Orinoco	23-11	-66.87468814978789	10.48880558341618	VE
1050	Caracas	Bulevar de Sabana Grande	255	-66.8732964	10.4926066	VE
1050	Caracas	Bulevar de Sabana Grande	255	-66.87328075266402	10.492682332089652	VE
1050	Caracas	Bulevar de Sabana Grande	259	-66.8731049	10.4924722	VE
1050	Caracas	Bulevar de Sabana Grande	259	-66.87306985266402	10.492542032089654	VE
1050	Caracas	Chacaito	1050	-66.8699898	10.4898955	VE
1050	Caracas	El Recreo	191	-66.8773122	10.4907604	VE
1060	Caracas	2.° Avenida	1	-66.86228552149238	10.493790327511364	VE
1060	Caracas	2.° Avenida	45-5	-66.85522040086019	10.506634908852984	VE
1060	Caracas	2.° Avenida	45-5	-66.8551615	10.5066545	VE
1060	Caracas	2ª Av. de Altamira	1	-66.8546292	10.5103053	VE
1060	Caracas	2ª Av. de Campo Alegre	1	-66.8624642	10.4922353	VE
1060	Caracas	2ª Transversal de Los Palos Grandes	00	-66.84424858933711	10.499952882181185	VE
1060	Caracas	2ª Transversal de Los Palos Grandes	00	-66.84395089043234	10.499584523408647	VE
1060	Caracas	2ª Transversal de Los Palos Grandes	00	-66.8434473591548	10.49949189531983	VE
1060	Caracas	2ª Transversal de Los Palos Grandes	00	-66.84342232897025	10.499943592652988	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.8442100281936	10.501215215724296	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.844057773421	10.50091682724549	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84396202436912	10.501216772235924	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84342987736034	10.501322010797095	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84312227044842	10.500885808700389	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84231764936541	10.501338524952397	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84228919237135	10.50093502763806	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84214386625546	10.501331081453007	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84202098966887	10.500950287814108	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84192714999999	10.501338200000001	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84176166230992	10.500952626689475	VE
1060	Caracas	3ª Transversal de Los Palos Grandes	00	-66.84171373273064	10.501335090464538	VE
1060	Caracas	4ª Av. de Altamira	1	-66.8524744	10.5078914	VE
1060	Caracas	4ª Av. de Altamira	1	-66.852374	10.507571	VE
1060	Caracas	4ª Av. de Altamira	1	-66.85097682862043	10.502941138256043	VE
1060	Caracas	4ª Av. de Altamira	41	-66.85242192143893	10.507559346968755	VE
1060	Caracas	Av. Francisco de Miranda	Nivel C-4	-66.8438142	10.4972305	VE
1060	Caracas	Av. Guaicaipuro	1	-66.8691798	10.4901733	VE
1060	Caracas	Av. Mohedano	1	-66.85744085486165	10.503183313951888	VE
1060	Caracas	Av. Mohedano	1	-66.8568962	10.5030788	VE
1060	Caracas	Av. Mohedano	64	-66.85681047288037	10.503114374569439	VE
1060	Caracas	Av. Mohedano	Qta.Las Ligias	-66.85851531921082	10.508165846223141	VE
1060	Caracas	Av. San Felipe	1	-66.8508557	10.4977824	VE
1060	Caracas	Av. San Felipe	1	-66.8507492	10.4974804	VE
1060	Caracas	Av. San Juan Bosco	1	-66.85067247876485	10.502815003618432	VE
1060	Caracas	Av. Sorocaima	1	-66.8609187	10.490282	VE
